measure_date,best_before,taste,buyer,silver
2018-11-28,2019-09-01,11,A,0
2018-12-05,2019-05-01,0,B,0
2018-12-05,2019-05-01,0,B,0
2018-12-05,2019-05-01,0,B,0
2018-12-05,2019-05-01,0,A,0
2018-12-05,2019-07-01,0,A,1
2018-12-05,2019-05-01,0,A,0
2018-12-06,2019-06-01,0,C,0
2018-12-06,2019-07-01,0,C,0
2018-12-06,2019-07-01,0,C,0
2018-12-06,2019-07-01,0,C,1
2018-12-09,2019-10-01,12,A,0
2018-12-09,2019-10-01,12,A,0
2018-12-09,2019-10-01,12,A,0
2018-12-09,2019-10-01,12,A,0
2018-12-09,2019-10-01,12,A,1
2018-12-10,2019-07-01,0,C,0
2018-12-11,2019-10-01,12,A,0
2018-12-11,2019-09-01,12,A,0
2018-12-11,2019-09-01,12,A,0
2018-12-12,2019-05-01,0,B,0
2018-12-12,2019-05-01,0,B,0
2018-12-13,2019-05-01,0,A,0
2018-12-13,2019-07-01,0,A,0
2018-12-13,2019-07-01,0,A,0
2018-12-16,2019-10-01,12,A,0
2018-12-16,2019-10-01,12,A,0
2018-12-16,2019-07-01,1,A,0
2018-12-16,2019-07-01,1,A,0
2018-12-17,2019-09-01,11,A,0
2018-12-17,2019-09-01,11,A,0
2018-12-19,2019-09-01,12,A,0
2018-12-19,2019-09-01,12,A,0
2018-12-19,2019-09-01,12,A,0
2018-12-19,2019-09-01,12,A,0
2018-12-20,2019-05-01,0,B,0
2018-12-20,2019-05-01,0,B,1
2018-12-22,2019-07-01,1,A,0
2018-12-22,2019-07-01,1,A,0
2018-12-22,2019-07-01,1,A,0
2018-12-22,2019-07-01,1,A,0
2018-12-23,2019-04-01,0,A,0
2018-12-23,2019-04-01,0,A,0
2018-12-23,2019-04-01,0,A,0
2018-12-23,2019-04-01,0,A,0
2018-12-24,2019-07-01,1,A,0
2018-12-24,2019-07-01,1,A,0
2018-12-24,2019-07-01,1,A,1
2018-12-24,2019-07-01,1,A,0
2018-12-25,2019-04-01,0,A,0
2018-12-25,2019-04-01,0,A,0
2018-12-25,2019-04-01,0,A,0
2018-12-25,2019-04-01,0,A,0
2018-12-27,2019-04-01,0,A,0
2018-12-27,2019-04-01,0,A,0
2018-12-27,2019-04-01,0,A,0
2018-12-27,2019-04-01,0,A,1
2019-01-10,2019-04-01,0,A,0
2019-01-10,2019-04-01,0,A,0
2019-01-10,2019-04-01,0,A,0
2019-01-10,2019-04-01,0,A,0
2019-01-13,2019-07-01,1,A,0
2019-01-13,2019-07-01,1,A,0
2019-01-13,2019-07-01,1,A,0
2019-01-13,2019-07-01,1,A,0
2019-01-13,2019-07-01,1,A,0
2019-01-14,2019-04-01,0,A,0
2019-01-14,2019-04-01,0,A,0
2019-01-14,2019-04-01,0,A,0
2019-01-14,2019-04-01,0,A,0
2019-01-15,2019-07-01,1,A,0
2019-01-15,2019-07-01,1,A,0
2019-01-15,2019-07-01,1,A,0
2019-01-15,2019-07-01,1,A,0
2019-01-15,2019-07-01,1,A,0
2019-01-17,2019-05-01,0,B,0
2019-01-17,2019-05-01,0,B,0
2019-01-17,2019-07-01,0,B,0
2019-01-17,2019-07-01,0,B,0
2019-01-20,2019-07-01,0,B,0
2019-01-20,2019-07-01,0,B,0
2019-01-20,2019-07-01,0,B,0
2019-01-20,2019-07-01,0,B,0
2019-01-21,2019-07-01,0,B,1
2019-01-21,2019-07-01,0,B,0
2019-01-21,2019-07-01,0,B,0
2019-01-24,2019-08-01,0,C,0
2019-01-24,2019-08-01,0,C,0
2019-01-28,2019-08-01,0,C,0
2019-01-28,2019-08-01,0,C,0
2019-01-30,2019-09-01,12,A,0
2019-01-30,2019-09-01,12,A,0
2019-01-30,2019-09-01,12,A,0
2019-02-11,2019-06-01,0,A,0
2019-02-11,2019-08-01,0,A,0
2019-02-11,2019-08-01,0,A,0
2019-02-13,2019-08-01,0,A,0
2019-02-13,2019-08-01,0,A,0
2019-02-14,2019-10-01,1,A,0
2019-02-14,2019-10-01,1,A,0
2019-02-14,2019-10-01,1,A,0
2019-02-18,2019-10-01,12,A,0
2019-02-18,2019-10-01,12,A,0
2019-02-18,2019-10-01,12,A,0
2019-02-19,2019-09-01,13,A,0
2019-02-19,2019-09-01,13,A,0
2019-02-19,2019-09-01,13,A,0
2019-02-19,2019-09-01,13,A,0
2019-02-21,2019-08-01,0,C,0
2019-02-21,2019-08-01,0,C,0
2019-02-25,2019-09-01,13,A,0
2019-02-25,2019-09-01,13,A,0
2019-02-25,2019-09-01,13,A,0
2019-02-27,2019-09-01,13,A,0
2019-02-27,2019-09-01,13,A,0
2019-02-28,2019-09-01,13,A,0
2019-02-28,2019-09-01,13,A,0
2019-02-28,2019-09-01,13,A,0
2019-03-03,2019-09-01,13,A,0
2019-03-03,2019-09-01,13,A,0
2019-03-03,2019-09-01,0,B,0
2019-03-03,2019-09-01,0,B,1
2019-03-04,2019-09-01,0,C,0
2019-03-04,2019-09-01,0,C,0
2019-03-06,2019-08-01,0,A,0
2019-03-06,2019-08-01,0,A,0
